name,description,price,warranty,specifications
Lithium Battery 1,Reliable battery for industrial applications.,15.71,1 year,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 2,High-performance lithium battery with long life.,44.99,6 months,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 3,Rechargeable battery suitable for various devices.,21.63,6 months,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 4,Rechargeable battery suitable for various devices.,31.99,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 5,"Compact size, ideal for portable electronics.",43.6,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 6,High-performance lithium battery with long life.,12.83,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 7,"Compact size, ideal for portable electronics.",17.6,2 years,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
Lithium Battery 8,Rechargeable battery suitable for various devices.,12.36,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 9,High-performance lithium battery with long life.,27.54,2 years,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 10,High-performance lithium battery with long life.,10.93,2 years,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 11,Reliable battery for industrial applications.,11.24,2 years,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 12,Eco-friendly battery with stable output.,48.24,6 months,"Voltage: 3.7V, Capacity: 2500mAh, Weight: 45g"
Lithium Battery 13,High-performance lithium battery with long life.,48.26,6 months,"Voltage: 3.6V, Capacity: 2000mAh, Weight: 40g"
Lithium Battery 14,Rechargeable battery suitable for various devices.,26.45,1 year,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 15,Reliable battery for industrial applications.,31.87,6 months,"Voltage: 3.6V, Capacity: 1800mAh, Weight: 38g"
Lithium Battery 16,"Compact size, ideal for portable electronics.",48.96,1 year,"Voltage: 3.8V, Capacity: 2200mAh, Weight: 42g"
Lithium Battery 17,Reliable battery for industrial applications.,27.68,1 year,"Voltage: 3.7V, Capacity: 3000mAh, Weight: 50g"
